smiles,pACT
CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,4.95
CC(=O)OC[C@H]1O[C@@H](Sc2nnc(-c3ccc(Cl)cc3)n2N)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,4.2
CC(=O)OCc1cc2ccc3c(c2c(-c2ccc4c(c2)OCO4)c1CO)OCO3,6.38
CC(=O)OCc1cc2ccc3c(c2c(-c2ccc4c(c2)OCO4)c1COC(C)=O)OCO3,5.91
CC(=O)O[C@@H](C[C@@H](C)C1=C2C[C@H](OC(C)=O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)[C@@H](OC(C)=O)C(C)(C)OC(C)=O,5.32
CC(=O)O[C@@H](C[C@@H](C)[C@]12CC[C@@]3(C)[C@@]1(C[C@H](OC(C)=O)[C@H]1[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]13C)O2)[C@@H](OC(C)=O)C(C)(C)OC(C)=O,4.34
CC(=O)O[C@@H]1[C@@H](O)C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)CCC(C)(C)OC(C)=O)[C@H](O)C[C@@]32C)C1(C)C,5.55
CC(=O)O[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1ccccc1,5.63
CC(=O)O[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1,5.85
CC(=O)O[C@H]([C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)C(C)(C)O,6.22
CC(=O)O[C@H]([C@@H]1C[C@@H](C)C2=C3C[C@H](O)[C@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]4(C)[C@@]3(C)C[C@@H]2O1)C(C)(C)O,6.22
CC(=O)O[C@H]1C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)CCC(C)(C)OC(C)=O)[C@H](O)C[C@@]32C)C(C)(C)[C@@H]1OC(C)=O,5.01
CC(=O)O[C@H]1C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)CCC(C)(C)OC(C)=O)[C@H](OC(C)=O)C[C@@]32C)C(C)(C)[C@@H]1OC(C)=O,4.76
CC(=O)Oc1ccc(/C=C/C(=O)O[C@H]2CC[C@@]3(C)C(=CC[C@]4(O)[C@@H]3C[C@@H](OC(=O)/C=C(\C)C(C)C)[C@@]3(C)[C@]4(O)CC[C@@]3(O)C(C)=O)C2)cc1,5.47
CC(=O)Oc1ccccc1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,5.42
CC(=O)Oc1ccccc1C(=O)Nc1ccc(Br)cc1,6.12
CC(=O)Oc1ccccc1C(=O)Nc1ccc(Cl)cc1,5.46
CC(=O)Oc1ccccc1C(=O)Nc1ccc(I)cc1,6.7
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,6.92
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](O)CC3=CC[C@]12O,4.39
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4c(F)c(F)c(F)c(F)c4F)CC3=CC[C@]12O,5.0
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cc(F)cc(F)c4)CC3=CC[C@]12O,4.73
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(Br)cc4)CC3=CC[C@]12O,4.79
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(C(F)(F)F)cc4)CC3=CC[C@]12O,5.0
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(C)cc4)CC3=CC[C@]12O,4.92
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(C=O)cc4)CC3=CC[C@]12O,5.2
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(Cl)c(Cl)c4)CC3=CC[C@]12O,4.85
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(Cl)c([N+](=O)[O-])c4)CC3=CC[C@]12O,5.2
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(Cl)cc4)CC3=CC[C@]12O,4.79
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(Cl)cc4Cl)CC3=CC[C@]12O,4.84
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(F)c(C(F)(F)F)c4)CC3=CC[C@]12O,5.05
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(F)c(F)c4)CC3=CC[C@]12O,5.33
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(F)c(F)c4F)CC3=CC[C@]12O,5.55
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(F)cc4)CC3=CC[C@]12O,4.98
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc(O)c(O)c4)CC3=CC[C@]12O,5.04
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccc5c(c4)OCO5)CC3=CC[C@]12O,5.19
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(Br)c4)CC3=CC[C@]12O,5.36
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(C(F)(F)F)c4)CC3=CC[C@]12O,4.83
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(C)c4)CC3=CC[C@]12O,5.14
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(Cl)c4)CC3=CC[C@]12O,4.9
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(F)c4)CC3=CC[C@]12O,5.32
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(F)c4F)CC3=CC[C@]12O,5.54
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc(OC(F)(F)F)c4)CC3=CC[C@]12O,5.24
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4cccc([N+](=O)[O-])c4)CC3=CC[C@]12O,4.3
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccccc4)CC3=CC[C@]12O,5.23
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)/C=C/c4ccccc4C(F)(F)F)CC3=CC[C@]12O,5.3
